ID,Language_ID,Headword,Part_Of_Speech,Segments,Sound_Classes,Character,Middle Chinese,Old_Chinese,Middle_Chinese_Readings,Old_Chinese_Readings,Glosses,Example_IDS
word-416,OldChinese,阻,,,,阻,,*[ts]raʔ,*[ts]raʔ,(tsrjoH) / tsrjoX,strategic pass,ad-40-357
word-417,OldChinese,用,,,,用,,*loŋ-s,*loŋ-s,yowngH,use,ad-40-358
word-418,OldChinese,諧,,,,諧,,*kˤrij,*kˤrij,keaj,harmonize,ad-40-359
word-419,OldChinese,家,,,,家,,*kˤra,*kˤra,kae,home,ad-40-360
word-420,OldChinese,忧,,,,忧,,*ʔ(r)u,*ʔ(r)u,juw,grief,ad-40-360
word-421,OldChinese,善,,,,善,,*[g]e[n]ʔ,*[g]e[n]ʔ,dzyenX,good,ad-41-361
,OldChinese,,,,,,,,*kˤoŋ,kuwng,assault,ad-41-361 ad-41-362
,OldChinese,,,,,,,,*s.tuʔ-s,syuwH,keep,ad-41-364
,OldChinese,,,,,,,,*[ts]ok-s / *ləʔ,tsjuH / yiX,be sufficient,ad-41-366 ad-41-367 ad-42-368
word-422,OldChinese,捍,,,,捍,,*m-kˤa[r]-s,*m-kˤa[r]-s,hanH,shield,ad-42-368
,OldChinese,,,,,,,,*daŋʔ-s,dzyangH,superior,ad-42-369
,OldChinese,,,,,,,,*m-gˤraʔ-s,haeH,inferior,ad-42-369
word-423,OldChinese,絓,,,,絓,,*[k]ʷˤre-s,*[k]ʷˤre-s,kweaH,entangle,ad-42-370
,OldChinese,,,,,,,,*k(r)əʔ,kiX,thread,ad-42-370
word-424,OldChinese,國,,,,國,,*[C.q]ʷˤək,*[C.q]ʷˤək,kwok,state,ad-42-370
,OldChinese,,,,,,,,*[C.q]ʷˤək,kwok,state,ad-42-371
,OldChinese,,,,,,,,*C.qʰ(r)əʔ,khiX,raise,ad-42-372 ad-44-392
word-425,OldChinese,諸侯,,,,諸侯,,*ta // *[g]ˤ(r)o,*ta / *[g]ˤ(r)o,(tsyae) / huw / tsyo,noble,ad-42-372
word-426,OldChinese,寡,,,,寡,,*[C.k]ʷˤraʔ,*[C.k]ʷˤraʔ,kwaeX,few,ad-42-372
word-427,OldChinese,歡,,,,歡,,*qʷʰˤar,*qʷʰˤar,xwan,delight,ad-43-376
,OldChinese,,,,,,,,*ɢʷaŋʔ,hjwangX,go,ad-43-378
,OldChinese,,,,,,,,*mraŋ,mjaeng,bright,ad-43-381
word-428,OldChinese,詑,,,,詑,,*l̥ˤaj,*l̥ˤaj,da,mislead,ad-43-381
word-429,OldChinese,鬼,,,,鬼,,*k-ʔujʔ,*k-ʔujʔ,kjw+jX,ghost,ad-43-381
word-430,OldChinese,神,,,,神,,*Cə.li[n],*Cə.li[n],zyin,god,ad-43-381
,OldChinese,,,,,,,,*Cə.li[n],zyin,god,ad-43-382
word-431,OldChinese,非,,,,非,,*pəj,*pəj,pj+j,be not,ad-43-383
word-432,OldChinese,唯,,,,唯,,*ɢʷij,*ɢʷij,ywij / (ywijX),modal particle,ad-43-384
word-433,OldChinese,王,,,,王,,*ɢʷaŋ-s,*ɢʷaŋ-s,hjwangH,king,ad-43-385
word-434,OldChinese,至,,,,至,,*ti[t]-s,*ti[t]-s,tsyijH,excellent,ad-43-385
word-435,OldChinese,沫,,,,沫,,*mˤat,*mˤat,mat,Mo (personal Name),ad-44-387
word-436,OldChinese,或者,,,,或者,,*[ɢ]ʷˤək // *tAʔ,*tAʔ / *[ɢ]ʷˤək,tsyaeX / hwok,maybe,ad-44-388
,OldChinese,,,,,,,,*lˤək-s,dojH,dynasty,ad-44-389
,OldChinese,,,,,,,,*kˤak,kak,each,ad-44-393
,OldChinese,,,,,,,,*l̥ap-s,syejH,era,ad-44-393
word-437,OldChinese,沒,,,,沒,,*[m-k-]rəp,*[m-k-]rəp,gip,die,ad-44-394
,OldChinese,,,,,,,,*m-q(r)aʔ,yoX,conjunction,ad-45-395
word-438,OldChinese,古,,,,古,,*kˤaʔ,*kˤaʔ,kuX,ancient,ad-45-395
word-439,OldChinese,敢,,,,敢,,*[k]ˤamʔ,*[k]ˤamʔ,kamX,dare,ad-45-396
,OldChinese,,,,,,,,*kˤaʔ,kuX,ancient,ad-45-396 ad-45-397 ad-46-402
word-440,OldChinese,恭,,,,恭,,*koŋ,*koŋ,kjowng,cherish,ad-45-398
word-441,OldChinese,儉,,,,儉,,*[g]r[a]mʔ,*[g]r[a]mʔ,gjemX,frugality,ad-45-398
word-442,OldChinese,驕,,,,驕,,*kraw,*kraw,kjew,take pride,ad-45-399
word-443,OldChinese,泰,,,,泰,,*l̥ˤa[t]-s,*l̥ˤa[t]-s,thajH,pomp,ad-45-399
,OldChinese,,,,,,,,*ɢʷij,ywij / (ywijX),modal particle,ad-45-400
,OldChinese,,,,,,,,*[b]a / ! *ba / *p(r)a,// / bju / pju,modal particle,ad-45-400
word-444,OldChinese,禹,,,,禹,,*[ɢ]ʷ(r)aʔ,*[ɢ]ʷ(r)aʔ,hjuX,Yu (person name),ad-45-400
word-445,OldChinese,湯,,,,湯,,! *l̥ˤaŋ // *r̥ˤaŋ,! *l̥ˤaŋ / *r̥ˤaŋ,thang,Tang (person name),ad-45-400
word-446,OldChinese,桀,,,,桀,,! *m-[k]at // *N-[k]at,*N-[k]at / ! *m-[k]at,gjet,Jie (person name),ad-45-400
word-447,OldChinese,紂,,,,紂,,*[d]ruʔ,*[d]ruʔ,drjuwX,Zhou (person name),ad-45-400
,OldChinese,,,,,,,,*[k]ˤamʔ,kamX,dare,ad-46-401
